Regiom,Date,Sunspots,Size,Class Magnitude,Class Spot,Location
8124,1997/12/21,1,40,A,HSX,S22E78
8124,1997/12/22,7,150,B,EAO,S22E66
8124,1997/12/23,20,240,BG,EAC,S22E54
8124,1997/12/24,27,590,BGD,EKC,S22E40
8124,1997/12/25,23,360,BGD,EKC,S22E27
8124,1997/12/26,24,310,BG,EAI,S22E14
8124,1997/12/27,17,260,BG,ESI,S22E01
8124,1997/12/28,20,230,BG,ESC,S21W12
8124,1997/12/29,15,190,BG,EAI,S20W24
8124,1997/12/30,12,200,BGD,ESO,S20W37
8124,1997/12/31,8,160,BGD,DAO,S22W55
8124,1998/01/01,6,120,BGD,DSO,S21W64
8124,1998/01/02,6,110,BG,CAO,S21W79
8124,1998/01/03,1,60,A,HSX,S22W90
8125,1997/12/24,3,10,B,BXO,N19E41
8125,1997/12/25,2,0,B,BXO,N19E28
8125,1997/12/26,1,0,A,AXX,N19E16
8126,1997/12/24,1,100,A,HHX,N20E79
8126,1997/12/25,1,160,A,HHX,N21E66
8126,1997/12/26,1,160,A,HKX,N21E54
8126,1997/12/27,2,200,B,CHO,N20E41
8126,1997/12/28,3,180,A,HSX,N21E28
8126,1997/12/29,8,210,B,CHO,N22E16
8126,1997/12/30,7,230,B,DKO,N19E05
8126,1997/12/31,7,220,BG,HKX,N21W10
8126,1998/01/01,7,240,B,CHO,N21W24
8126,1998/01/02,6,210,B,CKO,N22W38
8126,1998/01/03,9,180,B,DAO,N20W51
8126,1998/01/04,7,150,B,DAO,N21W62
8126,1998/01/05,7,110,B,DAO,N22W74
8126,1998/01/06,1,40,A,HSX,N23W91
8127,1997/12/27,1,0,A,AXX,S17W54
8128,1997/12/28,3,10,B,BXO,N28W54
8128,1997/12/29,2,10,B,BXO,N28W68
8128,1997/12/30,2,10,B,BXO,N27W87
8129,1997/12/30,3,10,B,BXO,N28E36
8129,1998/01/01,1,0,A,AXX,N29E12
8129,1998/01/06,1,10,A,AXX,N23W54
8129,1998/01/07,2,10,A,AXX,N24W66
8130,1997/12/30,5,20,B,BXO,S29E30
8130,1997/12/31,11,50,B,DAO,S29E16
8130,1998/01/01,10,70,B,DAO,S29E03
8130,1998/01/02,13,70,B,DSO,S29W11
8130,1998/01/03,10,50,B,DSO,S28W23
8130,1998/01/04,4,10,B,BXO,S28W35
8130,1998/01/05,3,10,B,BXO,S28W47
8130,1998/01/07,1,10,A,AXX,S29W64
8131,1998/01/11,4,10,B,BXO,S26E19
